cidade   ;actt;pibpc;ater;gurb;frvei;pop
Abatiá;18;10414;227,898;73,83;2332;7764
Adrianópolis;;10680;1341,334;32,31;1549;6376
Agudos do Sul;6;10535;191,282;34,12;3142;8270
Almirante Tamandaré;190;6850;191,114;95,82;33697;103204
Altamira do Paraná;1;8683;387,315;49,58;1101;4306
Alto Paraíso;1;11468;1045,718;55,27;1053;3206
Alto Paraná;29;10133;407,635;82,13;4806;13663
Alto Piquiri;27;11526;444,008;82,29;3162;10179
Altônia;55;7667;729,317;73,57;8700;20516
Alvorada do Sul;28;11150;417,91;71,36;3391;10283
Amaporã;6;8753;384,838;79,55;1440;5443
Ampére;109;15350;296,751;76,59;7520;17308
Anahy;;12919;102,331;73,35;1143;2874
Andirá;59;18570;233,261;93,89;9248;20610
Ângulo;1;14180;105,931;78,8;1021;2859
Antonina;79;14858;876,551;85,03;2893;18891
Antônio Olinto;2;15155;466,632;9,35;2303;7351
Apucarana;1330;14472;555,395;94,36;57601;120919
Arapongas;1330;25169;381,615;97,79;58884;104150
Arapoti;54;23075;1362,062;84,23;8828;25855
Arapuã;3;10933;218,04;37,46;1364;3561
Araruna;27;17760;491,078;78,06;5585;13419
Araucária;787;75501;471,337;92,51;56137;119123
Ariranha do Ivaí;1;14906;237,582;36,85;765;2453
Assaí;94;16190;440,012;83,08;7565;16354
Assis Chateaubriand;156;16862;966,158;87,85;17001;33025
Astorga;53;12285;435,994;91,34;12359;24698
Atalaia;;14076;137,724;85,54;1649;3913
Balsa Nova;41;33398;344,191;60,8;5107;11300
Bandeirantes;190;10274;446,301;88,19;13627;32184
Barbosa Ferraz;19;7445;531,968;75,7;3860;12656
Barra do Jacaré;2;16072;115,727;67,88;1025;2727
Barracão;57;11834;162,804;71,99;5334;9735
Bela Vista da Caroba;2;10680;149,135;26,39;1393;3945
Bela Vista do Paraíso;105;13118;245,475;94,14;7395;15079
Bituruna;33;9822;1218,833;62,34;5594;15880
Boa Esperança;;21056;311,225;57,79;2112;4568
Boa Esperança do Iguaçu;;16067;150,418;34,48;1031;2764
Boa Ventura de São Roque;10;15004;621,319;23,56;1826;6554
Boa Vista da Aparecida;25;7589;256,162;61,94;2880;7911
Bocaiúva do Sul;21;10054;825,757;46,67;3487;10987
Bom Jesus do Sul;8;8929;174,682;24,58;1131;3796
Bom Sucesso;15;9470;321,007;81,22;1883;6561
Bom Sucesso do Sul;;20775;195,566;48,01;1296;3293
Borrazópolis;11;10998;337,321;73,74;3309;7878
Braganey;4;13716;342,758;59,58;2304;5735
Brasilândia do Sul;3;22044;297,248;67,93;1044;3209
Cafeara;2;12875;184,738;81,45;872;2695
Cafelândia;67;32970;271,527;84,22;6972;14662
Cafezal do Sul;;8841;328,597;77,51;1512;4290
Califórnia;15;7829;142,094;74,71;3667;8069
Cambará;89;14003;365,091;93,63;12087;23886
Cambé;528;18265;496,122;96,09;42493;96733
Cambira;27;13287;164,078;75,66;3633;7236
Campina da Lagoa;16;12258;797,598;81,57;5612;15394
Campina do Simão;;10666;451,311;34,05;918;4076
Campina Grande do Sul;123;17156;540,631;82,44;15063;38769
Campo Bonito;4;17320;429,306;58,54;1340;4407
Campo do Tenente;14;15132;304,291;58,86;2125;7125
Campo Largo;666;15603;1282,564;83,8;50749;112377
Campo Magro;35;8449;278,224;78,68;8145;24843
Campo Mourão;995;19523;763,637;94,82;46192;87194
Cândido de Abreu;21;8191;1515,244;28,53;4288;16655
Candói;;14725;1509,059;46,89;4558;14983
Cantagalo;29;8518;583,52;65,7;3182;12952
Capanema;115;14969;419,403;60,19;8015;18526
Capitão Leônidas Marques;81;47269;274,892;76,75;6892;14970
Carambeí;84;34676;645,422;72,63;8235;19163
Carlópolis;64;13789;449,079;68,24;5544;13706
Cascavel;3555;18578;2091,401;94,36;157748;286205
Castro;283;16594;2533,247;73,44;26371;67084
Catanduvas;13;13412;589,604;52,36;3088;10202
Centenário do Sul;42;8557;371,01;83,41;4051;11190
Cerro Azul;5;8484;1341,323;28,39;4365;16938
Céu Azul;56;24313;1180,163;76,02;5572;11032
Chopinzinho;65;12978;959,18;63,56;8145;19679
Cianorte;773;17333;809,232;89,03;40275;69958
Cidade Gaúcha;44;13014;403,636;82,95;4642;11062
Clevelândia;73;10776;703,104;85,6;6182;17240
Colombo;599;11084;197,805;95,42;84166;212967
Colorado;115;16405;403,741;94;11969;22345
Congonhinhas;12;10201;532,329;58,39;2436;8279
Conselheiro Mairinck;7;11460;204,494;69,17;978;3636
Contenda;5;10170;300,569;58,09;6521;15891
Corbélia;80;18061;528,715;85,68;8030;16312
Cornélio Procópio;564;16050;637,946;94,42;24863;46928
Coronel Domingos Soares;;11599;1557,942;24,22;1235;7238
Coronel Vivida;55;12606;683,252;71,01;9427;21749
Corumbataí do Sul;7;9849;169,528;53,15;1350;4002
Cruz Machado;22;9465;1477,372;33,58;6704;18040
Cruzeiro do Iguaçu;3;14562;160,576;61,31;1465;4278
Cruzeiro do Oeste;77;13893;781,959;86,54;8322;20416
Cruzeiro do Sul;5;21708;259,148;74,6;1943;4563
Cruzmaltina;3;14900;305,359;47,53;889;3162
Curitiba;25109;33177;435,495;100;1197974;1751907
Curiúva;10;8550;573,465;68,76;4100;13923
Diamante D'Oeste;6;10196;309,147;50,94;1387;5516
Diamante do Norte;15;28760;243,257;82,51;2445;3510
Diamante do Sul;2;7440;345,981;40,03;810;5027
Dois Vizinhos;424;18868;419,017;77,66;18929;36179
Douradina;1;39482;420,255;70,33;3422;7445
Doutor Camargo;13;12121;118,233;87,66;2933;5828
Doutor Ulysses;1;10988;787,32;16,22;912;5727
Enéas Marques;8;17175;193,461;34,84;2758;6103
Engenheiro Beltrão;39;15170;469,424;88,29;5800;13906
Entre Rios do Oeste;19;20933;120,327;67,29;2131;3926
Esperança Nova;;9675;142,358;38,17;806;1970
Espigão Alto do Iguaçu;1;10722;320,87;35,19;1127;4677
Farol;;18268;291,6;58,12;1113;3472
Faxinal;58;12291;713,68;78,09;6523;16314
Fazenda Rio Grande;204;8648;115,377;92,96;24299;81675
Fênix;13;12527;233,811;83,19;1697;4802
Fernandes Pinheiro;6;11236;406,633;35,3;1541;5932
Figueira;24;9303;129,905;85,51;2597;8293
Flor da Serra do Sul;;13056;254,27;34,79;1690;4726
Floraí;;22459;190,644;88,55;2394;5050
Floresta;15;12428;162,007;92,23;3362;5931
Florestópolis;20;9522;249,394;93,96;3501;11222
Flórida;5;10188;83,14;91,31;1149;2543
Formosa do Oeste;24;13959;275,076;65,91;3832;7541
Foz do Iguaçu;2660;24388;610,209;99,17;118804;256088
Foz do Jordão;15;9086;233,631;72,45;1379;5420
Francisco Alves;1;11751;320,765;65,97;2455;6418
Francisco Beltrão;1137;16465;731,731;85,44;40287;78943
General Carneiro;18;17092;1072,013;70,01;3920;13669
Godoy Moreira;1;7582;132,467;46,36;1020;3337
Goioerê;227;13482;566,028;86,99;13235;29018
Goioxim;;9109;701,594;23,4;1481;7503
Grandes Rios;4;9100;305,183;53,74;1955;6625
Guaíra;210;12744;568,845;91,86;18017;30704
Guairaçá;16;12769;493,553;80,02;2050;6197
Guamiranga;6;15221;243,157;28,3;2744;7900
Guapirama;2;12419;189,03;74,53;1232;3891
Guaporema;2;13591;200,755;57,73;792;2219
Guaraci;6;9162;212,304;80,35;1965;5227
Guaraniaçu;46;12156;1240,063;53,52;5444;14582
Guarapuava;1533;14986;3177,598;91,43;69239;167328
Guaraqueçaba;5;7438;2315,733;34,09;367;7871
Guaratuba;312;10630;1328,48;89,75;8976;32095
Honório Serpa;4;15184;503,674;33,38;1897;5955
Ibaiti;86;10989;900,233;80,4;9746;28751
